TreeID,Date,D60,DBH1,DBH2,DBH3,Point1,Point2,Point3,Point4,Point5,Pix.mm,ASPECT,NOTES, Coppice
QGRI512,5/12/2011,15.4,9.2,,,6.34,24.79,20.75,5.55,16.47,11.8,,,0
QGRI513,5/12/2011,6.4,3.2,,,6.91,2.15,7.27,7.38,5.99,11.8,,,0
QGRI515,5/13/2011,20,11.5,11.8,,13.4,4.17,16.07,17.48,5.87,11.8,190,,1
QGRI516,5/14/2011,24.2,23,,,13.92,13.2,15.63,14,14.76,11.8,344,,0
QGRI517,5/14/2011,11,10.7,,,3.69,5.42,9.7,5.65,10.9,11.8,62,,0
QGRI518,5/14/2011,9.8,5.3,7.6,,9.92,9.13,7.89,9.19,10.26,11.8,320,,1
QGRI519,5/15/2011,28.8,13.6,19.4,,15.41,14.55,15.2,12.21,11.71,11.8,40,,1
QGRI520,5/15/2011,49.3,51.8,,,16.8,15.56,15.95,16.14,17.22,11.8,92,,0
QGRI521,5/14/2011,27.2,21.6,,,34.19,24.39,4.62,35.87,2.78,11.8,,29.97,0
QGRI522,7/25/2011,15,11.2,,,11.49,17.15,16.97,9.23,17.15,11.8,170,,0
QGRI523,7/25/2011,14.8,10.9,,,11.23,4.96,14.55,13.75,11.7,11.8,20,not round,0
QGRI524,7/25/2011,6.5,4.6,,,7.33,6.04,7.24,6.68,,11.5,,only 4,0
QGRI525,7/25/2011,20.8,21.3,,,12.19,7.68,22.65,17.06,19.13,11.8,200,,0
QGRI526,7/25/2011,19.5,14.1,15.6,,16.3,19.97,10.15,14.98,21.48,11.8,15,,0
QGRI527,7/25/2011,4.8,4,,,2.75,3.29,2.55,2.44,3.72,11.8,50,,0
QGRI528,7/26/2011,31.2,27.7,,,26.09,25.66,24.15,17.92,23.41,11.6,80,,0
QGRI529,7/26/2011,5.8,6.3,,,6.39,3.35,2.34,6.27,6.28,11.8,120,,0
QGRA501,5/9/2011,19.7,17.8,,,7.06,13.49,14.01,6.04,,11.8,,,0
QGRA502,5/9/2011,27,25.8,,,10.13,6.59,4.42,11.31,9.47,11.8,,,0
QGRA503,5/9/2011,9.4,9.3,,,2.38,5.65,3.36,5.73,7.06,11.8,,,0
QGRA504,5/9/2011,26.3,25.6,,,13.32,12.63,13.78,10.93,6.9,11.8,,,0
QGRA506,5/9/2011,8.7,8.2,,,1.76,1.8,1.73,2.28,2.16,11.8,,,0
QGRA507,5/9/2011,15,13.5,,,4.28,3.14,3.31,3.37,2.66,11.8,,,0
QGRA509,5/9/2011,11.9,12.4,,,2.21,6.25,6.26,3.59,0.89,11.8,,,0
QGRA510,5/9/2011,11.5,10.8,,,9.9,2.5,11.58,8.47,10.79,11.8,,,0
QGRA511,5/10/2011,30.8,30.7,,,6.78,8.48,11.67,7.58,4.93,11.8,,,0
QGRA512,5/10/2011,35.4,34.8,,,10.59,3.9,11.98,14.2,3.77,11.8,,,0
QGRA513,5/10/2011,16.8,15.2,,,7.19,6.38,4.24,5.11,3.75,11.8,,,0
QGRA514,5/14/2011,36.4,34,,,22.4,13.92,24.71,4.94,19.28,11.8,190,,0
QGRA515,5/14/2011,24,22.8,,,16.17,13.76,16.63,2.54,15.7,11.8,300,,0
QGRA516,5/14/2011,21.1,20.2,,,15.11,6.05,15.71,10.92,11.29,11.8,180,,0
QGRA517,5/14/2011,25.7,23.6,,,15.22,11.08,10.41,4.94,8.98,11.8,44,,0
QGRA518,5/14/2011,12.1,13,,,5.56,6.91,3.62,5.24,5.58,11.8,196,,0
QGRA519,5/14/2011,12.9,13.3,,,7.89,2.94,7.37,5.26,8.07,11.8,210,,0
QGRA520,5/14/2011,8.6,7.4,,,6.78,6.51,3.52,6.01,5.58,11.8,6,,0
QGRA521,5/14/2011,13,11.7,,,5.28,5.44,3.47,2.34,6.31,11.8,270,,0
